"Story","Title","Result","Date","Stability","Duration (s)"
"CP01 - Validar inicio de sesion","CP0101 - Validar inicio de sesión con credenciales validas","SUCCESS","2023-08-25T17:32:07.9421412-05:00[America/Lima]","0.0","25.22"
"CP01 - Validar inicio de sesion","CP0102 - Validar inicio de sesión con credenciales inválidas","SUCCESS","2023-08-25T17:32:33.7557589-05:00[America/Lima]","0.0","19.32"
